log time,GPS hour,GPS minute,GPS seconds,GPS latitude,GPS longitude,GPS angle,GPS speed,exterior temperature,interior temperature,BMP pressure (mb),BMP pressure (inHG),BMP altitude,CCS eCO2,CCS TVOC,Acceleration X,Acceleration Y,Acceleration Z,Magnetic X,Magnetic Y,Magnetic Z,Gyro X,Gyro Y,Gyro Z,
54000,7,7,19,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,487,13,-1.21,0.11,10.14,-0.02,0.42,-0.35,-0.02,-0.08,-1.18,
57000,7,7,20,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.06,nan,nan,nan,493,14,-1.14,0.07,10.11,-0.01,0.42,-0.35,0.10,0.25,-1.07,
60000,7,7,22,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,493,14,-1.20,0.08,10.05,-0.03,0.42,-0.37,0.22,-0.07,-1.11,
63000,7,7,23,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,463,9,-1.17,0.10,10.11,-0.02,0.42,-0.35,-0.20,0.11,-1.23,
66000,7,7,25,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,552,23,-1.22,0.08,10.12,-0.02,0.42,-0.37,0.11,0.03,-1.20,
69000,7,7,26,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,487,13,-1.19,0.09,10.09,-0.04,0.42,-0.34,-0.14,0.52,-1.07,
72000,7,7,28,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,524,18,-1.22,0.08,10.07,-0.01,0.40,-0.34,-0.01,0.27,-1.40,
75000,7,7,29,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,493,14,-1.22,0.11,10.14,-0.02,0.43,-0.36,0.11,0.29,-1.32,
78000,7,7,31,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,575,26,-1.19,0.07,10.15,-0.02,0.42,-0.35,-0.08,0.14,-0.92,
81000,7,7,32,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,735,51,-1.24,0.07,10.10,-0.02,0.42,-0.36,-0.11,0.25,-0.99,
84000,7,7,34,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,776,57,-1.16,0.07,10.08,-0.03,0.41,-0.35,-0.58,-0.64,-1.22,
87000,7,7,35,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,819,63,-1.19,0.07,10.10,-0.02,0.41,-0.38,-0.09,-0.07,-1.12,
90000,7,7,37,0.0000,0.0000,0.00,0.00,0.00,-127.00,25.00,nan,nan,nan,768,56,-1.61,-0.01,10.26,-0.02,0.42,-0.35,-0.81,0.88,8.06,
