log time,GPS hour,GPS minute,GPS seconds,GPS latitude,GPS longitude,GPS angle,GPS speed,exterior temperature,interior temperature,BMP pressure (mb),BMP pressure (inHG),BMP altitude,CCS eCO2,CCS TVOC,Acceleration X,Acceleration Y,Acceleration Z,Magnetic X,Magnetic Y,Magnetic Z,Gyro X,Gyro Y,Gyro Z,
36000,15,13,58,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,400,0,-0.23,-0.91,10.52,0.09,0.63,-0.36,2.40,1.92,1.02,
39000,15,13,59,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,400,0,-0.58,-2.35,12.18,0.08,0.63,-0.38,-2.74,-0.87,-0.16,
42000,15,14,1,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,400,0,0.08,-1.12,10.29,0.08,0.63,-0.37,0.55,-0.29,0.02,
45000,15,14,2,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,785,58,0.09,-1.12,10.26,0.07,0.64,-0.37,0.97,0.44,0.28,
48000,15,14,4,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,418,2,0.10,-1.13,10.13,0.08,0.64,-0.36,1.01,0.62,0.54,
51000,15,14,5,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,400,0,0.07,-1.15,10.28,0.09,0.64,-0.37,0.94,0.65,0.52,
54000,15,14,6,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,496,14,-0.02,-1.15,10.25,0.07,0.62,-0.40,0.71,1.05,0.35,
57000,15,14,8,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,426,3,0.12,-1.33,10.04,0.08,0.65,-0.36,5.67,-1.74,1.35,
60000,15,14,10,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,400,0,0.62,-1.03,11.34,0.08,0.64,-0.35,2.26,-0.80,0.48,
63000,15,14,11,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,400,0,0.53,0.12,10.55,0.09,0.64,-0.36,-7.75,-0.10,4.23,
66000,15,14,12,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,600,30,0.25,-1.09,9.99,0.10,0.63,-0.36,-2.72,1.67,-0.30,
69000,15,14,14,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,995,90,0.14,-0.96,10.21,0.09,0.63,-0.36,0.90,0.52,0.13,
72000,15,14,16,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,887,74,0.21,-0.96,10.25,0.09,0.64,-0.37,1.01,0.43,0.04,
75000,15,14,17,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.38,nan,nan,nan,694,44,0.16,-0.97,10.24,0.09,0.64,-0.37,0.71,0.64,0.30,
78000,15,14,18,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.31,nan,nan,nan,400,0,0.21,-0.97,10.28,0.09,0.63,-0.37,0.87,0.62,0.29,
81000,15,14,20,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.31,nan,nan,nan,400,0,0.18,-0.98,10.29,0.10,0.64,-0.35,0.68,0.25,0.20,
84000,15,14,22,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.31,nan,nan,nan,539,21,0.20,-0.98,10.32,0.09,0.63,-0.36,0.74,0.50,0.35,
87000,15,14,23,0.0000,0.0000,0.00,0.00,0.00,-127.00,6.31,nan,nan,nan,410,1,0.21,-0.99,10.25,0.08,0.63,-0.37,0.85,0.56,0.37,
90000,15,14,25,3315.2548,11207.8173,321.30,309.21,0.16,-127.00,6.31,nan,nan,nan,477,11,0.18,-1.00,10.32,0.09,0.64,-0.37,0.84,0.33,0.33,
93000,15,14,27,3315.2551,11207.8173,320.00,304.48,0.17,-127.00,6.31,nan,nan,nan,473,11,-0.04,-0.83,9.94,0.09,0.64,-0.36,0.68,-0.98,0.38,
96000,15,14,29,3315.2553,11207.8183,317.20,317.86,0.12,-127.00,6.25,nan,nan,nan,410,1,-0.20,-0.95,10.63,0.08,0.64,-0.37,0.36,1.20,0.27,
99000,15,14,31,3315.2556,11207.8183,313.40,216.16,0.02,-127.00,6.25,nan,nan,nan,653,38,0.36,-1.24,10.32,0.08,0.65,-0.35,1.42,-0.14,1.19,
102000,15,14,33,3315.2553,11207.8183,313.80,9.08,0.01,-127.00,6.25,nan,nan,nan,577,26,0.38,-0.96,10.25,0.07,0.64,-0.37,1.00,0.17,0.31,
105000,15,14,35,3315.2551,11207.8183,317.50,131.69,0.01,-127.00,6.25,nan,nan,nan,536,20,0.14,-1.11,10.27,0.08,0.63,-0.37,0.81,0.48,0.32,
108000,15,14,37,3315.2548,11207.8183,318.30,329.32,0.01,-127.00,6.25,nan,nan,nan,477,11,0.18,-1.09,10.35,0.09,0.64,-0.36,0.84,0.21,0.31,
111000,15,14,39,3315.2548,11207.8173,318.70,250.51,0.01,-127.00,6.25,nan,nan,nan,486,13,0.17,-1.10,10.27,0.09,0.64,-0.36,0.88,0.31,0.31,
114000,15,14,41,3315.2543,11207.8173,318.20,21.07,0.01,-127.00,6.25,nan,nan,nan,496,14,0.29,-1.08,10.27,0.09,0.64,-0.36,0.86,0.38,0.31,
117000,15,14,43,3315.2541,11207.8164,321.40,221.27,0.01,-127.00,6.25,nan,nan,nan,450,7,0.17,-1.09,10.23,0.09,0.64,-0.36,0.74,0.49,0.38,
120000,15,14,45,3315.2539,11207.8164,323.90,219.03,0.01,-127.00,6.19,nan,nan,nan,446,7,0.20,-1.17,10.28,0.08,0.64,-0.36,1.44,0.61,0.53,
123000,15,14,47,3315.2539,11207.8154,324.50,152.58,0.01,-127.00,6.19,nan,nan,nan,400,0,0.16,-1.06,10.28,0.08,0.64,-0.37,0.91,0.53,0.55,
126000,15,14,49,3315.2539,11207.8154,323.50,321.15,0.01,-127.00,6.19,nan,nan,nan,423,3,0.14,-1.08,10.24,0.08,0.64,-0.36,1.01,0.32,0.29,
129000,15,14,51,3315.2539,11207.8154,323.10,28.81,0.01,-127.00,6.19,nan,nan,nan,413,1,0.13,-1.07,10.16,0.09,0.64,-0.37,0.84,0.27,0.35,
132000,15,14,53,3315.2539,11207.8154,323.90,237.98,0.02,-127.00,6.19,nan,nan,nan,405,0,4.07,-2.37,10.23,0.23,0.60,-0.28,2.16,3.17,-6.88,
135000,15,14,55,3315.2539,11207.8154,323.90,274.64,0.05,-127.00,6.19,nan,nan,nan,400,0,6.99,0.12,5.82,0.35,0.57,-0.06,0.94,28.04,2.06,
138000,15,14,57,3315.2539,11207.8154,323.60,23.50,0.09,-127.00,6.19,nan,nan,nan,400,0,9.23,-1.11,4.22,0.36,0.61,-0.01,1.58,-0.62,0.17,
141000,15,14,59,3315.2539,11207.8154,323.20,106.70,0.06,-127.00,6.19,nan,nan,nan,400,0,9.61,-0.57,2.86,0.37,0.61,0.05,1.74,1.29,-0.12,
144000,15,15,1,3315.2539,11207.8154,323.30,247.14,0.14,-127.00,6.19,nan,nan,nan,519,18,-0.11,-1.23,10.28,0.07,0.64,-0.36,1.44,0.59,0.68,
147000,15,15,3,3315.2539,11207.8154,323.30,177.81,0.16,-127.00,6.19,nan,nan,nan,506,16,-0.03,-1.26,10.14,0.08,0.63,-0.36,0.67,0.43,0.31,
150000,15,15,5,3315.2539,11207.8154,323.30,159.08,0.02,-127.00,6.19,nan,nan,nan,475,11,-0.06,-1.37,10.32,0.08,0.65,-0.37,3.55,-2.01,1.37,
153000,15,15,7,3315.2539,11207.8154,323.30,29.28,0.04,-127.00,6.19,nan,nan,nan,821,64,-0.03,-1.37,10.23,0.08,0.65,-0.36,0.88,0.42,0.33,
156000,15,15,9,3315.2539,11207.8154,323.30,122.56,0.00,-127.00,6.25,nan,nan,nan,427,4,-0.03,-1.29,10.20,0.07,0.65,-0.38,1.01,0.63,0.32,
159000,15,15,11,3315.2539,11207.8154,323.30,251.55,0.00,-127.00,6.25,nan,nan,nan,400,0,-0.63,-1.47,9.34,0.07,0.65,-0.36,12.62,5.35,0.15,
162000,15,15,13,3315.2539,11207.8154,323.30,187.88,0.03,-127.00,6.19,nan,nan,nan,400,0,-0.13,-1.36,10.25,0.08,0.65,-0.36,0.56,0.67,0.26,
165000,15,15,15,3315.2539,11207.8154,323.30,347.05,0.02,-127.00,6.19,nan,nan,nan,653,38,-0.13,-1.36,10.26,0.08,0.64,-0.37,1.03,0.43,0.36,
168000,15,15,17,3315.2539,11207.8154,323.30,273.64,0.01,-127.00,6.19,nan,nan,nan,634,35,-0.13,-1.36,10.21,0.08,0.64,-0.36,0.98,0.40,0.27,
171000,15,15,19,3315.2539,11207.8154,323.30,172.47,0.02,-127.00,6.19,nan,nan,nan,594,29,-0.12,-1.30,10.26,0.08,0.64,-0.36,0.93,0.25,0.38,
174000,15,15,21,3315.2539,11207.8154,323.30,18.31,0.01,-127.00,6.19,nan,nan,nan,679,42,-0.09,-1.34,10.27,0.08,0.64,-0.36,0.94,0.30,0.31,
177000,15,15,23,3315.2539,11207.8154,323.30,235.61,0.00,-127.00,6.19,nan,nan,nan,665,40,-0.13,-1.33,10.24,0.08,0.65,-0.36,0.66,0.58,0.63,
180000,15,15,25,3315.2539,11207.8154,323.30,204.98,0.01,-127.00,6.19,nan,nan,nan,679,42,-0.13,-1.31,10.22,0.08,0.65,-0.36,0.92,0.38,0.31,
183000,15,15,27,3315.2539,11207.8154,323.30,198.51,0.01,-127.00,6.19,nan,nan,nan,612,32,-0.16,-1.31,10.20,0.08,0.64,-0.38,0.78,0.67,0.53,
186000,15,15,29,3315.2539,11207.8154,323.30,59.54,0.00,-127.00,6.19,nan,nan,nan,688,43,-0.12,-1.36,10.28,0.08,0.65,-0.36,0.97,0.32,0.32,
189000,15,15,31,3315.2539,11207.8154,323.30,186.80,0.01,-127.00,6.19,nan,nan,nan,646,37,-0.10,-1.35,10.22,0.08,0.64,-0.37,1.09,0.52,0.16,
192000,15,15,33,3315.2536,11207.8154,323.60,230.00,0.02,-127.00,6.19,nan,nan,nan,629,34,-0.10,-1.19,9.86,0.08,0.64,-0.38,-0.61,-0.03,-0.01,
195000,15,15,35,3315.2534,11207.8154,323.80,308.42,0.01,-127.00,6.19,nan,nan,nan,588,28,-0.47,-0.24,7.78,0.08,0.64,-0.36,7.74,1.36,2.72,
198000,15,15,37,3315.2534,11207.8154,324.00,341.35,0.02,-127.00,6.19,nan,nan,nan,588,28,-0.23,-1.33,10.35,0.08,0.64,-0.36,0.75,0.45,0.12,
201000,15,15,39,3315.2534,11207.8154,324.00,294.53,0.02,-127.00,6.19,nan,nan,nan,679,42,-0.01,-1.33,10.17,0.10,0.65,-0.34,0.47,0.42,0.35,
204000,15,15,41,3315.2534,11207.8154,324.20,188.34,0.04,-127.00,6.19,nan,nan,nan,641,36,-0.14,-1.37,10.46,0.09,0.63,-0.35,1.12,-0.25,-0.04,
207000,15,15,43,3315.2534,11207.8154,324.30,83.89,0.03,-127.00,6.19,nan,nan,nan,674,41,-0.12,-1.29,10.18,0.07,0.63,-0.37,0.80,0.50,0.37,
210000,15,15,45,3315.2534,11207.8154,324.40,110.18,0.02,-127.00,6.19,nan,nan,nan,588,28,-0.15,-1.32,10.24,0.08,0.63,-0.36,0.84,0.27,0.12,
213000,15,15,47,3315.2531,11207.8154,324.50,132.50,0.01,-127.00,6.25,nan,nan,nan,561,24,-0.11,-1.31,10.16,0.09,0.63,-0.37,0.79,0.36,0.29,
216000,15,15,49,3315.2531,11207.8154,324.60,96.34,0.00,-127.00,6.25,nan,nan,nan,553,23,-0.12,-1.33,10.14,0.07,0.64,-0.36,0.87,0.37,0.19,
219000,15,15,51,3315.2531,11207.8154,324.70,193.47,0.01,-127.00,6.25,nan,nan,nan,553,23,-0.16,-1.28,10.27,0.08,0.64,-0.35,0.62,0.17,0.36,
222000,15,15,53,3315.2529,11207.8154,324.80,279.31,0.01,-127.00,6.31,nan,nan,nan,527,19,-0.17,-1.25,10.27,0.08,0.63,-0.37,0.99,0.67,0.59,
225000,15,15,55,3315.2529,11207.8154,324.90,274.50,0.01,-127.00,6.31,nan,nan,nan,518,17,-0.08,-1.29,10.11,0.08,0.63,-0.36,1.29,0.38,0.47,
228000,15,15,57,3315.2529,11207.8154,324.90,267.61,0.01,-127.00,6.38,nan,nan,nan,561,24,-0.12,-1.29,10.17,0.09,0.64,-0.36,0.68,0.64,0.27,
231000,15,15,59,3315.2529,11207.8154,324.90,354.79,0.02,-127.00,6.50,nan,nan,nan,548,22,-0.13,-1.31,10.27,0.08,0.64,-0.36,0.84,0.36,0.51,
234000,15,16,1,3315.2526,11207.8154,325.00,6.56,0.02,-127.00,6.63,nan,nan,nan,548,22,-0.12,-1.33,10.25,0.08,0.64,-0.36,0.93,0.49,0.34,
237000,15,16,3,3315.2526,11207.8154,325.10,127.38,0.01,-127.00,6.69,nan,nan,nan,492,14,-0.09,-1.30,10.20,0.09,0.63,-0.36,0.96,0.49,0.03,
240000,15,16,5,3315.2526,11207.8154,325.10,147.98,0.01,-127.00,6.81,nan,nan,nan,508,16,-0.05,-1.27,10.25,0.08,0.64,-0.36,0.65,0.25,0.25,
243000,15,16,7,3315.2524,11207.8154,325.00,168.62,0.00,-127.00,6.94,nan,nan,nan,502,15,-0.11,-1.35,10.23,0.07,0.65,-0.36,0.80,0.65,0.67,
246000,15,16,9,3315.2524,11207.8154,325.10,240.84,0.01,-127.00,7.00,nan,nan,nan,508,16,-0.27,-1.33,10.32,0.08,0.64,-0.37,0.66,0.67,0.45,
249000,15,16,11,3315.2524,11207.8154,325.10,172.91,0.04,-127.00,7.00,nan,nan,nan,566,25,-0.15,-1.49,10.33,0.07,0.65,-0.35,3.02,3.84,0.96,
252000,15,16,13,3315.2524,11207.8154,324.90,311.48,0.01,-127.00,7.00,nan,nan,nan,1053,99,0.11,-1.30,9.94,0.08,0.65,-0.37,0.82,0.98,0.72,
255000,15,16,15,3315.2524,11207.8154,325.00,235.49,0.02,-127.00,6.94,nan,nan,nan,1038,97,-0.14,-1.30,10.22,0.08,0.64,-0.37,0.82,0.48,0.14,
258000,15,16,17,3315.2524,11207.8154,325.00,242.71,0.02,-127.00,6.94,nan,nan,nan,1174,117,-0.07,-1.28,10.14,0.08,0.64,-0.36,0.82,0.32,0.18,
261000,15,16,19,3315.2524,11207.8154,325.00,221.82,0.02,-127.00,6.88,nan,nan,nan,1224,125,-0.19,-1.38,10.20,0.07,0.65,-0.36,0.39,0.85,0.45,
264000,15,16,21,3315.2524,11207.8154,325.00,226.38,0.02,-127.00,6.88,nan,nan,nan,1389,150,-0.19,-1.34,10.20,0.07,0.65,-0.35,0.92,0.49,0.38,
267000,15,16,23,3315.2524,11207.8154,325.00,235.39,0.02,-127.00,6.88,nan,nan,nan,1238,127,-0.18,-1.33,10.14,0.07,0.64,-0.37,1.01,0.47,0.35,
270000,15,16,25,3315.2524,11207.8154,325.00,226.77,0.01,-127.00,6.88,nan,nan,nan,1174,117,-0.12,-1.36,10.25,0.07,0.64,-0.37,0.77,0.47,0.34,
273000,15,16,27,3315.2524,11207.8154,325.00,234.41,0.05,-127.00,6.81,nan,nan,nan,1204,122,-0.18,-1.36,10.25,0.07,0.65,-0.37,0.66,0.55,0.28,
276000,15,16,29,3315.2524,11207.8154,325.00,123.71,0.02,-127.00,6.81,nan,nan,nan,1110,108,-0.15,-1.32,10.22,0.06,0.64,-0.37,0.72,0.55,0.53,
279000,15,16,31,3315.2524,11207.8154,325.00,174.18,0.01,-127.00,6.81,nan,nan,nan,1310,138,-0.18,-1.34,10.18,0.08,0.64,-0.36,0.98,0.29,0.54,
282000,15,16,33,3315.2524,11207.8154,325.00,344.20,0.01,-127.00,6.81,nan,nan,nan,1140,112,-0.16,-1.34,10.26,0.07,0.64,-0.36,0.81,0.52,0.54,
285000,15,16,35,3315.2524,11207.8154,325.00,314.67,0.01,-127.00,6.81,nan,nan,nan,1110,108,-0.17,-1.34,10.27,0.08,0.65,-0.36,0.71,0.40,0.53,
288000,15,16,37,3315.2524,11207.8154,325.00,22.61,0.01,-127.00,6.81,nan,nan,nan,1009,92,-0.02,-1.33,10.26,0.07,0.65,-0.35,0.89,0.29,0.30,
291000,15,16,39,3315.2524,11207.8154,325.00,3.75,0.02,-127.00,6.81,nan,nan,nan,1029,95,-0.18,-1.44,10.25,0.07,0.65,-0.35,1.71,0.31,0.48,
294000,15,16,41,3315.2524,11207.8154,325.00,145.08,0.02,-127.00,6.81,nan,nan,nan,793,59,-0.18,-1.38,10.14,0.06,0.65,-0.36,0.69,0.57,0.11,
297000,15,16,43,3315.2524,11207.8154,325.00,145.74,0.02,-127.00,6.81,nan,nan,nan,726,49,-0.20,-1.39,10.17,0.07,0.65,-0.35,0.74,0.40,0.18,
300000,15,16,45,3315.2524,11207.8154,325.00,169.06,0.01,-127.00,6.75,nan,nan,nan,714,47,-0.22,-1.38,10.22,0.07,0.64,-0.37,0.95,0.49,0.38,
303000,15,16,47,3315.2524,11207.8154,325.00,313.25,0.02,-127.00,6.75,nan,nan,nan,752,53,-0.20,-1.39,10.17,0.07,0.65,-0.36,0.74,0.16,0.31,
306000,15,16,49,3315.2524,11207.8154,325.00,305.89,0.02,-127.00,6.75,nan,nan,nan,778,57,-0.19,-1.36,10.21,0.07,0.65,-0.36,0.73,0.15,0.30,
309000,15,16,51,3315.2524,11207.8154,325.00,243.07,0.01,-127.00,6.75,nan,nan,nan,714,47,8.82,-3.15,3.25,0.29,0.73,0.02,-9.21,64.79,-34.86,
312000,15,16,53,3315.2524,11207.8154,325.00,110.82,0.04,-127.00,6.69,nan,nan,nan,668,40,9.26,-3.22,1.50,0.24,0.77,0.11,0.00,15.44,2.59,
315000,15,16,55,3315.2524,11207.8154,325.00,88.00,0.03,-127.00,6.75,nan,nan,nan,714,47,9.91,-4.31,-0.06,0.24,0.78,0.15,-0.96,9.79,-2.07,
318000,15,16,57,3315.2524,11207.8154,325.00,222.58,0.00,-127.00,6.81,nan,nan,nan,785,58,8.99,-3.95,0.13,0.24,0.78,0.13,1.38,1.19,0.62,
321000,15,16,59,3315.2524,11207.8154,325.00,300.52,0.01,-127.00,6.88,nan,nan,nan,793,59,-0.35,-1.24,10.08,0.03,0.67,-0.37,0.63,-0.07,0.38,
324000,15,17,1,3315.2524,11207.8154,325.00,256.34,0.06,-127.00,7.00,nan,nan,nan,844,67,-0.42,-1.32,10.27,0.04,0.68,-0.37,0.68,0.33,0.01,
327000,15,17,3,3315.2524,11207.8154,325.00,273.48,0.03,-127.00,7.06,nan,nan,nan,844,67,-1.36,0.15,10.18,0.02,0.64,-0.39,-0.30,-0.32,-0.71,
330000,15,17,5,3315.2524,11207.8154,325.00,91.67,0.02,-127.00,7.06,nan,nan,nan,761,54,-0.25,-1.13,9.93,0.04,0.66,-0.38,-1.72,-1.32,-0.55,
333000,15,17,7,3315.2524,11207.8154,325.00,74.67,0.02,-127.00,7.13,nan,nan,nan,810,62,-0.48,-1.13,10.24,0.05,0.66,-0.36,0.81,0.56,0.67,
336000,15,17,9,3315.2524,11207.8154,325.00,102.70,0.02,-127.00,7.19,nan,nan,nan,761,54,-0.61,-1.14,10.24,0.04,0.66,-0.38,0.86,0.32,0.16,
339000,15,17,11,3315.2524,11207.8154,325.00,296.91,0.02,-127.00,7.19,nan,nan,nan,761,54,-0.39,-1.13,10.26,0.03,0.66,-0.37,0.62,0.50,0.17,
342000,15,17,13,3315.2524,11207.8154,325.00,309.29,0.03,-127.00,7.25,nan,nan,nan,714,47,-0.40,-1.12,10.11,0.03,0.65,-0.36,0.40,0.70,0.32,
345000,15,17,15,3315.2524,11207.8154,325.00,316.41,0.03,-127.00,7.25,nan,nan,nan,659,39,-0.50,-1.18,10.16,0.03,0.66,-0.36,1.52,0.56,0.25,
348000,15,17,17,3315.2524,11207.8154,325.00,167.00,0.02,-127.00,7.25,nan,nan,nan,638,36,-0.41,-1.12,10.21,0.04,0.66,-0.37,0.89,0.59,0.22,
351000,15,17,19,3315.2524,11207.8154,325.00,73.18,0.02,-127.00,7.31,nan,nan,nan,645,37,-0.45,-1.17,10.28,0.04,0.65,-0.37,1.07,0.41,0.31,
354000,15,17,21,3315.2524,11207.8154,325.00,85.42,0.02,-127.00,7.31,nan,nan,nan,627,34,-0.48,-1.12,10.21,0.03,0.67,-0.36,0.56,0.43,0.25,
357000,15,17,23,3315.2524,11207.8154,325.00,275.39,0.02,-127.00,7.31,nan,nan,nan,659,39,-0.42,-1.15,10.32,0.04,0.66,-0.37,0.96,0.37,0.18,
360000,15,17,25,3315.2524,11207.8154,325.00,243.35,0.01,-127.00,7.31,nan,nan,nan,704,46,-0.46,-1.12,10.33,0.04,0.66,-0.36,1.01,0.28,0.25,
363000,15,17,27,3315.2524,11207.8154,325.00,306.78,0.02,-127.00,7.31,nan,nan,nan,733,50,-0.46,-1.12,10.19,0.04,0.67,-0.36,0.74,0.60,0.23,
366000,15,17,29,3315.2524,11207.8154,325.00,75.77,0.02,-127.00,7.31,nan,nan,nan,645,37,-0.42,-1.14,10.22,0.03,0.66,-0.35,0.98,0.36,0.31,
369000,15,17,31,3315.2524,11207.8154,325.00,4.21,0.00,-127.00,7.31,nan,nan,nan,602,30,-0.48,-1.14,10.28,0.04,0.66,-0.36,0.95,0.36,0.05,
372000,15,17,33,3315.2524,11207.8154,325.00,96.01,0.02,-127.00,7.31,nan,nan,nan,656,39,-0.46,-1.16,10.24,0.04,0.67,-0.35,0.74,0.17,0.25,
375000,15,17,35,3315.2524,11207.8154,325.00,234.45,0.01,-127.00,7.31,nan,nan,nan,631,35,-0.45,-1.15,10.25,0.04,0.66,-0.36,0.93,0.20,0.11,
378000,15,17,37,3315.2524,11207.8154,325.00,300.55,0.01,-127.00,7.31,nan,nan,nan,656,39,-0.47,-1.17,10.18,0.04,0.65,-0.37,0.79,0.22,0.50,
381000,15,17,39,3315.2524,11207.8154,325.00,287.62,0.02,-127.00,7.31,nan,nan,nan,649,37,-0.41,-1.10,10.23,0.04,0.67,-0.35,0.60,0.29,0.17,
384000,15,17,41,3315.2524,11207.8154,325.00,168.74,0.02,-127.00,7.31,nan,nan,nan,659,39,-0.45,-1.15,10.26,0.03,0.67,-0.37,0.88,0.40,0.25,
387000,15,17,43,3315.2524,11207.8154,325.00,166.79,0.02,-127.00,7.31,nan,nan,nan,580,27,-0.40,-1.16,10.22,0.03,0.66,-0.36,0.74,0.45,0.29,
390000,15,17,45,3315.2524,11207.8154,325.00,156.55,0.03,-127.00,7.31,nan,nan,nan,679,42,-0.42,-1.13,10.25,0.04,0.67,-0.36,0.69,0.64,0.20,
393000,15,17,47,3315.2524,11207.8154,325.00,13.83,0.02,-127.00,7.25,nan,nan,nan,549,22,-0.47,-1.14,10.24,0.03,0.66,-0.36,0.72,0.36,0.23,
396000,15,17,49,3315.2524,11207.8154,325.00,8.86,0.02,-127.00,7.25,nan,nan,nan,553,23,-0.47,-1.16,10.29,0.04,0.67,-0.35,1.01,0.27,0.23,
399000,15,17,51,3315.2524,11207.8154,325.00,348.03,0.03,-127.00,7.25,nan,nan,nan,537,20,-0.40,-1.12,10.24,0.03,0.67,-0.36,0.99,0.62,0.38,
402000,15,17,53,3315.2524,11207.8154,325.00,186.60,0.02,-127.00,7.25,nan,nan,nan,553,23,-0.45,-1.09,10.28,0.03,0.67,-0.37,0.68,0.61,0.27,
405000,15,17,55,3315.2524,11207.8154,325.00,195.91,0.02,-127.00,7.25,nan,nan,nan,602,30,-0.43,-1.14,10.26,0.04,0.67,-0.37,0.80,0.59,0.25,
408000,15,17,57,3315.2524,11207.8154,325.00,172.54,0.03,-127.00,7.25,nan,nan,nan,569,25,-0.44,-1.14,10.21,0.03,0.67,-0.37,0.86,0.31,0.42,
411000,15,17,59,3315.2524,11207.8154,325.00,38.48,0.01,-127.00,7.25,nan,nan,nan,553,23,-0.45,-1.14,10.14,0.03,0.66,-0.37,0.88,0.50,0.36,
414000,15,18,1,3315.2524,11207.8154,325.00,357.31,0.02,-127.00,7.25,nan,nan,nan,564,24,-0.43,-1.15,10.26,0.03,0.66,-0.38,0.73,0.45,0.27,
417000,15,18,3,3315.2524,11207.8154,325.00,350.79,0.03,-127.00,7.25,nan,nan,nan,537,20,-0.43,-1.15,10.25,0.04,0.67,-0.38,0.82,0.38,0.34,
420000,15,18,5,3315.2524,11207.8154,325.00,190.28,0.01,-127.00,7.25,nan,nan,nan,564,24,-0.42,-1.14,10.27,0.03,0.67,-0.37,0.74,0.49,2.22,
423000,15,18,7,3315.2524,11207.8154,325.00,191.98,0.01,-127.00,7.25,nan,nan,nan,580,27,-0.43,-1.15,10.29,0.04,0.67,-0.37,0.84,0.53,0.28,
426000,15,18,9,3315.2524,11207.8154,325.00,164.37,0.03,-127.00,7.19,nan,nan,nan,553,23,-0.43,-1.16,10.28,0.03,0.66,-0.36,0.71,0.38,0.37,
429000,15,18,11,3315.2524,11207.8154,325.00,32.35,0.02,-127.00,7.19,nan,nan,nan,596,29,-0.46,-1.16,10.17,0.03,0.67,-0.36,0.79,0.48,0.38,
432000,15,18,13,3315.2524,11207.8154,324.90,47.20,0.01,-127.00,7.19,nan,nan,nan,575,26,-0.46,-1.16,10.25,0.03,0.67,-0.37,0.74,0.47,0.43,
