log time,GPS hour,GPS minute,GPS seconds,GPS latitude,GPS longitude,GPS angle,GPS speed,exterior temperature,interior temperature,BMP pressure (mb),BMP pressure (inHG),BMP altitude,CCS eCO2,CCS TVOC,Acceleration X,Acceleration Y,Acceleration Z,Magnetic X,Magnetic Y,Magnetic Z,Gyro X,Gyro Y,Gyro Z,
132000,15,22,28,3315.2526,11207.8144,324.70,305.13,0.05,-127.00,8.13,nan,nan,nan,1730,367,-1.34,-1.89,10.19,0.16,0.50,-0.38,-0.64,-3.68,-0.59,
135000,15,22,30,3315.2526,11207.8154,324.30,212.08,0.03,-127.00,8.13,nan,nan,nan,1751,391,-1.00,-2.07,10.02,0.16,0.50,-0.37,-1.17,0.27,-0.71,
138000,15,22,32,3315.2526,11207.8154,324.20,149.46,0.02,-127.00,8.13,nan,nan,nan,1770,414,-1.04,-1.79,10.12,0.15,0.49,-0.37,2.51,4.64,1.20,
141000,15,22,34,3315.2524,11207.8154,324.10,325.41,0.01,-127.00,8.19,nan,nan,nan,1784,432,-1.17,-1.88,10.10,0.15,0.50,-0.38,2.91,1.89,0.95,
144000,15,22,36,3315.2524,11207.8154,324.20,335.05,0.01,-127.00,8.19,nan,nan,nan,1738,374,-1.19,-1.79,10.08,0.15,0.49,-0.38,2.05,-0.94,-0.32,
147000,15,22,38,3315.2524,11207.8154,324.20,52.26,0.01,-127.00,8.19,nan,nan,nan,1385,150,-1.13,-1.85,10.07,0.16,0.49,-0.37,0.81,-1.29,-0.17,
150000,15,22,40,3315.2524,11207.8154,324.20,246.16,0.01,-127.00,8.19,nan,nan,nan,1445,159,-1.08,-1.56,10.14,0.16,0.50,-0.38,0.63,0.92,-0.09,
153000,15,22,42,3315.2524,11207.8154,324.20,33.40,0.01,-127.00,8.19,nan,nan,nan,1400,152,-1.04,-1.68,10.13,0.16,0.49,-0.38,2.35,3.26,0.91,
156000,15,22,44,3315.2524,11207.8154,324.20,352.12,0.00,-127.00,8.19,nan,nan,nan,1751,391,-0.97,-1.51,10.13,0.16,0.49,-0.37,-0.94,1.47,0.25,
159000,15,22,46,3315.2524,11207.8154,324.20,350.08,0.01,-127.00,8.19,nan,nan,nan,1770,414,-1.10,-1.56,10.16,0.16,0.48,-0.38,1.01,1.09,0.35,
162000,15,22,48,3315.2524,11207.8154,324.20,182.20,0.00,-127.00,8.19,nan,nan,nan,1714,352,-1.05,-1.55,10.09,0.16,0.48,-0.37,1.60,-0.94,-0.71,
165000,15,22,50,3315.2524,11207.8154,324.20,108.30,0.01,-127.00,8.19,nan,nan,nan,1792,441,-1.02,-1.60,10.16,0.16,0.48,-0.38,1.49,-0.58,-0.92,
168000,15,22,52,3315.2524,11207.8154,324.20,199.78,0.01,-127.00,8.19,nan,nan,nan,1248,129,-0.96,-1.63,10.11,0.16,0.49,-0.37,0.86,1.18,0.38,
171000,15,22,54,3315.2524,11207.8154,324.20,118.28,0.01,-127.00,8.19,nan,nan,nan,1563,217,-1.01,-1.74,10.15,0.16,0.49,-0.38,3.86,5.02,-0.58,
174000,15,22,56,3315.2524,11207.8154,324.20,1.66,0.02,-127.00,8.19,nan,nan,nan,1511,178,-0.96,-1.69,10.13,0.16,0.49,-0.36,3.31,1.19,0.95,
177000,15,22,58,3315.2524,11207.8154,324.20,177.72,0.01,-127.00,8.19,nan,nan,nan,1814,468,-0.98,-1.65,10.12,0.16,0.49,-0.37,0.70,0.67,0.11,
180000,15,23,0,3315.2524,11207.8154,324.20,357.79,0.01,-127.00,8.13,nan,nan,nan,1501,172,-1.62,-0.75,9.62,0.16,0.44,-0.38,-9.95,-8.55,-29.78,
183000,15,23,2,3315.2524,11207.8154,324.20,40.23,0.19,-127.00,8.19,nan,nan,nan,1511,178,-0.61,1.00,10.13,0.19,0.44,-0.36,1.35,2.79,0.90,
186000,15,23,4,3315.2524,11207.8154,324.20,263.49,0.01,-127.00,8.19,nan,nan,nan,1494,168,-0.57,0.40,10.33,0.19,0.46,-0.37,4.17,1.84,0.67,
189000,15,23,6,3315.2524,11207.8154,324.20,148.97,0.03,-127.00,8.19,nan,nan,nan,1445,159,-0.88,0.55,10.58,0.17,0.45,-0.40,-2.55,2.27,-2.77,
192000,15,23,8,3315.2524,11207.8154,324.20,250.81,0.03,-127.00,8.19,nan,nan,nan,1425,156,-2.57,-0.02,11.63,0.12,0.45,-0.40,4.24,18.89,1.77,
195000,15,23,10,3315.2524,11207.8154,324.20,299.91,0.06,-127.00,8.19,nan,nan,nan,1307,138,-2.00,-1.25,9.55,0.13,0.46,-0.39,18.86,-21.65,10.94,
198000,15,23,12,3315.2524,11207.8154,324.20,219.35,0.06,-127.00,8.19,nan,nan,nan,1220,124,-2.48,-0.99,9.92,0.11,0.48,-0.40,-2.34,0.09,-0.92,
201000,15,23,14,3315.2524,11207.8154,324.30,315.87,0.01,-127.00,8.19,nan,nan,nan,1345,143,-2.41,-1.09,9.97,0.11,0.48,-0.39,1.92,0.83,0.45,
204000,15,23,16,3315.2521,11207.8154,324.40,281.21,0.02,-127.00,8.19,nan,nan,nan,1188,120,-2.38,-1.26,9.90,0.09,0.47,-0.39,1.55,0.52,0.46,
207000,15,23,18,3315.2521,11207.8154,324.40,261.02,0.05,-127.00,8.19,nan,nan,nan,1408,153,-2.43,-1.24,9.97,0.10,0.49,-0.39,0.22,0.58,-0.07,
210000,15,23,20,3315.2521,11207.8154,324.30,259.79,0.07,-127.00,8.25,nan,nan,nan,1367,147,-2.36,-1.22,9.93,0.10,0.48,-0.40,0.55,0.30,-0.17,
213000,15,23,22,3315.2519,11207.8154,324.40,226.68,0.04,-127.00,8.25,nan,nan,nan,1367,147,-2.45,-1.23,9.92,0.10,0.49,-0.39,0.75,0.60,0.28,
216000,15,23,24,3315.2519,11207.8154,324.40,87.35,0.03,-127.00,8.25,nan,nan,nan,1204,122,-2.42,-1.22,9.86,0.10,0.48,-0.41,0.51,0.44,0.17,
219000,15,23,26,3315.2517,11207.8154,324.30,76.94,0.03,-127.00,8.25,nan,nan,nan,1487,165,-2.42,-1.23,9.85,0.10,0.48,-0.40,0.54,0.54,0.05,
222000,15,23,28,3315.2517,11207.8154,324.20,293.13,0.02,-127.00,8.25,nan,nan,nan,1429,156,-2.40,-1.21,9.95,0.10,0.48,-0.39,0.65,0.51,0.14,
225000,15,23,30,3315.2517,11207.8154,324.20,260.54,0.02,-127.00,8.25,nan,nan,nan,1349,144,-2.43,-1.22,9.82,0.11,0.49,-0.39,1.02,0.32,0.11,
228000,15,23,32,3315.2517,11207.8154,324.10,122.71,0.01,-127.00,8.31,nan,nan,nan,1313,139,-2.11,-0.62,9.92,0.12,0.48,-0.39,0.38,1.11,0.97,
231000,15,23,34,3315.2517,11207.8154,324.00,124.91,0.02,-127.00,8.31,nan,nan,nan,1313,139,-1.91,-1.30,10.09,0.12,0.48,-0.39,-6.42,-10.97,-2.64,
234000,15,23,36,3315.2517,11207.8144,323.90,93.75,0.03,-127.00,8.31,nan,nan,nan,1385,150,-2.31,-1.10,9.71,0.11,0.47,-0.38,3.46,-1.34,1.23,
237000,15,23,38,3315.2517,11207.8144,323.90,48.85,0.07,-127.00,8.38,nan,nan,nan,1367,147,-2.58,-1.59,10.03,0.05,0.44,-0.43,3.85,7.59,3.75,
240000,15,23,40,3315.2517,11207.8144,323.70,62.00,0.01,-127.00,8.38,nan,nan,nan,1445,159,-2.25,-1.13,9.97,0.06,0.45,-0.41,0.08,0.64,0.02,
243000,15,23,42,3315.2514,11207.8144,323.30,252.42,0.01,-127.00,8.38,nan,nan,nan,1513,180,-2.28,-1.25,10.13,0.11,0.49,-0.39,-7.88,-3.74,-2.70,
246000,15,23,44,3315.2514,11207.8144,322.90,314.47,0.01,-127.00,8.44,nan,nan,nan,1274,133,-3.57,-0.33,8.98,0.13,0.50,-0.38,6.47,-6.83,-1.72,
249000,15,23,46,3315.2514,11207.8144,322.80,253.87,0.01,-127.00,8.44,nan,nan,nan,1188,120,-2.30,-1.14,9.91,0.10,0.49,-0.38,1.15,-3.82,-2.64,
252000,15,23,48,3315.2514,11207.8144,322.80,193.65,0.01,-127.00,8.44,nan,nan,nan,1188,120,-2.35,-1.38,10.01,0.11,0.49,-0.38,-1.41,3.40,0.14,
255000,15,23,50,3315.2514,11207.8144,322.80,42.62,0.00,-127.00,8.50,nan,nan,nan,1083,104,-1.83,-1.55,10.34,0.13,0.49,-0.39,13.33,0.31,2.92,
258000,15,23,52,3315.2514,11207.8154,322.80,241.66,0.02,-127.00,8.69,nan,nan,nan,897,75,-2.40,-1.08,9.99,0.12,0.48,-0.38,3.87,-1.98,0.84,
261000,15,23,54,3315.2514,11207.8154,322.70,217.02,0.00,-127.00,8.88,nan,nan,nan,1007,92,-2.26,-1.14,9.98,0.11,0.48,-0.39,0.95,-0.16,-0.13,
264000,15,23,56,3315.2514,11207.8154,322.50,164.48,0.00,-127.00,9.06,nan,nan,nan,964,85,-2.33,-1.19,9.92,0.11,0.48,-0.39,0.91,0.33,0.22,
267000,15,23,58,3315.2514,11207.8154,322.50,146.80,0.03,-127.00,9.19,nan,nan,nan,964,85,-2.28,-1.25,9.95,0.11,0.48,-0.38,1.15,0.43,0.13,
270000,15,24,0,3315.2514,11207.8154,322.50,86.00,0.03,-127.00,9.25,nan,nan,nan,927,80,-2.33,-1.23,9.94,0.10,0.48,-0.40,0.88,0.57,0.21,
273000,15,24,2,3315.2514,11207.8154,322.50,81.60,0.02,-127.00,9.31,nan,nan,nan,942,82,-2.31,-1.25,9.94,0.11,0.48,-0.38,0.75,0.37,-0.06,
276000,15,24,4,3315.2514,11207.8154,322.50,279.49,0.01,-127.00,9.31,nan,nan,nan,885,73,-2.30,-1.24,10.02,0.10,0.48,-0.39,0.68,0.49,0.07,
279000,15,24,6,3315.2514,11207.8154,322.50,279.56,0.02,-127.00,9.38,nan,nan,nan,995,90,-2.27,-1.38,10.01,0.12,0.48,-0.38,0.74,0.30,0.21,
282000,15,24,8,3315.2514,11207.8154,322.50,341.81,0.02,-127.00,9.44,nan,nan,nan,1068,101,-2.33,-1.21,9.96,0.11,0.48,-0.38,0.60,0.32,0.03,
285000,15,24,10,3315.2514,11207.8154,322.50,211.82,0.02,-127.00,9.44,nan,nan,nan,1125,110,-2.33,-1.21,9.95,0.10,0.47,-0.39,1.01,0.07,0.06,
288000,15,24,12,3315.2514,11207.8154,322.50,288.66,0.02,-127.00,9.50,nan,nan,nan,1171,117,-2.28,-1.24,9.97,0.11,0.47,-0.38,0.71,0.30,0.35,
291000,15,24,14,3315.2514,11207.8154,322.50,42.15,0.01,-127.00,9.50,nan,nan,nan,1156,115,-2.18,-1.21,10.02,0.11,0.47,-0.39,0.56,0.49,0.19,
294000,15,24,16,3315.2514,11207.8154,322.50,5.60,0.01,-127.00,9.50,nan,nan,nan,1050,99,-2.26,-1.38,9.89,0.11,0.48,-0.39,0.66,0.29,-2.19,
297000,15,24,18,3315.2514,11207.8154,322.50,160.61,0.01,-127.00,9.50,nan,nan,nan,1150,114,-2.31,-1.24,9.99,0.12,0.47,-0.40,0.80,0.46,0.07,
300000,15,24,20,3315.2514,11207.8154,322.50,194.02,0.01,-127.00,9.56,nan,nan,nan,1360,146,-2.31,-1.24,10.03,0.11,0.48,-0.39,0.51,0.42,-0.01,
303000,15,24,22,3315.2514,11207.8154,322.50,90.55,0.02,-127.00,9.56,nan,nan,nan,1345,143,-2.31,-1.25,9.92,0.11,0.48,-0.39,0.91,0.39,2.12,
306000,15,24,24,3315.2514,11207.8154,322.50,332.68,0.02,-127.00,9.56,nan,nan,nan,1652,292,-2.30,-1.24,9.96,0.11,0.48,-0.40,0.67,0.52,0.34,
309000,15,24,26,3315.2514,11207.8154,322.50,41.06,0.01,-127.00,9.56,nan,nan,nan,1623,265,-2.44,-1.25,10.01,0.11,0.48,-0.38,0.54,0.30,-0.11,
312000,15,24,28,3315.2514,11207.8154,322.50,295.68,0.01,-127.00,9.63,nan,nan,nan,1559,212,-2.30,-1.22,10.01,0.11,0.47,-0.38,0.48,0.22,-0.19,
315000,15,24,30,3315.2514,11207.8154,322.50,261.64,0.02,-127.00,9.63,nan,nan,nan,1594,239,-2.33,-1.22,9.86,0.10,0.47,-0.40,0.53,0.26,0.06,
318000,15,24,32,3315.2514,11207.8154,322.40,84.19,0.01,-127.00,9.63,nan,nan,nan,1615,260,-2.62,-0.36,10.64,0.17,0.45,-0.37,-0.98,2.71,21.37,
321000,15,24,34,3315.2514,11207.8154,322.40,12.09,0.02,-127.00,9.63,nan,nan,nan,1606,249,-1.60,-1.87,10.02,0.12,0.44,-0.39,0.45,0.38,0.11,
324000,15,24,36,3315.2514,11207.8154,322.40,246.47,0.02,-127.00,9.63,nan,nan,nan,1615,260,-1.61,-1.84,9.95,0.12,0.44,-0.38,0.52,0.18,-0.08,
327000,15,24,38,3315.2514,11207.8154,322.40,338.24,0.03,-127.00,9.69,nan,nan,nan,1641,283,-1.60,-1.82,9.96,0.12,0.44,-0.38,0.80,0.39,-2.21,
330000,15,24,40,3315.2514,11207.8154,322.40,307.65,0.01,-127.00,9.69,nan,nan,nan,1677,316,-1.64,-1.81,9.99,0.12,0.44,-0.39,0.79,0.29,0.06,
333000,15,24,42,3315.2514,11207.8154,322.40,201.89,0.01,-127.00,9.69,nan,nan,nan,1696,335,-1.64,-1.84,10.01,0.12,0.44,-0.39,0.42,0.17,0.10,
336000,15,24,44,3315.2514,11207.8154,322.40,236.04,0.01,-127.00,9.69,nan,nan,nan,1703,341,-1.58,-1.82,10.03,0.12,0.44,-0.39,0.71,0.38,0.02,
339000,15,24,46,3315.2514,11207.8154,322.40,138.88,0.02,-127.00,9.75,nan,nan,nan,1710,349,-1.58,-1.81,10.07,0.12,0.45,-0.39,0.72,0.33,0.00,
342000,15,24,48,3315.2514,11207.8154,322.40,311.28,0.01,-127.00,9.75,nan,nan,nan,1717,355,-1.63,-1.80,10.07,0.12,0.45,-0.38,0.57,0.38,-0.03,
345000,15,24,50,3315.2514,11207.8154,322.40,23.80,0.01,-127.00,9.75,nan,nan,nan,1703,341,-1.63,-1.69,9.95,0.12,0.44,-0.39,0.52,0.50,0.09,
348000,15,24,52,3315.2514,11207.8154,322.50,279.61,0.01,-127.00,9.75,nan,nan,nan,1710,349,-1.65,-1.81,10.02,0.12,0.45,-0.38,0.41,0.19,-0.06,
351000,15,24,54,3315.2514,11207.8154,322.50,189.43,0.01,-127.00,9.81,nan,nan,nan,1677,316,-1.61,-1.82,9.98,0.11,0.43,-0.39,0.51,0.42,0.09,
354000,15,24,56,3315.2514,11207.8154,322.50,189.30,0.01,-127.00,9.81,nan,nan,nan,1689,327,-1.61,-1.82,10.00,0.12,0.44,-0.38,0.80,0.32,-0.14,
357000,15,24,58,3315.2514,11207.8154,322.40,109.68,0.01,-127.00,9.81,nan,nan,nan,1696,335,-1.62,-1.86,10.00,0.12,0.44,-0.39,0.58,0.26,-0.06,
360000,15,25,0,3315.2514,11207.8154,322.40,334.41,0.02,-127.00,9.81,nan,nan,nan,1703,341,-1.61,-1.80,10.00,0.12,0.44,-0.38,0.53,0.35,-0.03,
363000,15,25,2,3315.2514,11207.8154,322.50,340.33,0.02,-127.00,9.88,nan,nan,nan,1703,341,-1.64,-1.81,10.03,0.11,0.44,-0.39,0.48,0.29,-0.06,
366000,15,25,4,3315.2514,11207.8154,322.50,317.46,0.02,-127.00,9.88,nan,nan,nan,1710,349,-1.62,-1.81,9.97,0.12,0.43,-0.37,0.74,0.44,-0.43,
369000,15,25,6,3315.2514,11207.8154,322.50,101.76,0.00,-127.00,9.88,nan,nan,nan,1703,341,-1.65,-1.82,9.96,0.11,0.44,-0.38,0.72,0.45,-0.18,
372000,15,25,8,3315.2514,11207.8154,322.50,86.96,0.01,-127.00,9.88,nan,nan,nan,1696,335,-1.60,-1.82,9.97,0.12,0.45,-0.39,0.56,0.81,0.01,
375000,15,25,10,3315.2514,11207.8154,322.50,151.79,0.01,-127.00,9.94,nan,nan,nan,1710,349,-1.66,-1.81,10.06,0.12,0.43,-0.38,0.51,0.20,0.08,
378000,15,25,12,3315.2514,11207.8154,322.50,139.34,0.03,-127.00,9.94,nan,nan,nan,1733,370,-1.60,-1.83,9.85,0.12,0.43,-0.39,0.78,0.46,-0.12,
381000,15,25,14,3315.2514,11207.8154,322.50,162.65,0.01,-127.00,9.94,nan,nan,nan,1725,363,-1.62,-1.81,9.91,0.11,0.43,-0.39,0.45,0.17,-0.15,
384000,15,25,16,3315.2514,11207.8154,322.50,313.66,0.01,-127.00,9.94,nan,nan,nan,1698,336,-1.65,-1.81,9.98,0.11,0.44,-0.38,0.42,0.59,0.37,
387000,15,25,18,3315.2514,11207.8154,322.50,297.96,0.00,-127.00,10.00,nan,nan,nan,1698,336,-1.65,-1.82,10.00,0.12,0.44,-0.37,0.68,0.33,0.17,
390000,15,25,20,3315.2514,11207.8154,322.50,321.84,0.01,-127.00,10.00,nan,nan,nan,1678,318,-1.61,-1.83,10.02,0.12,0.43,-0.38,0.44,0.33,0.04,
393000,15,25,22,3315.2514,11207.8154,322.50,262.49,0.01,-127.00,10.00,nan,nan,nan,1698,336,-1.63,-1.81,9.93,0.12,0.44,-0.38,0.45,0.31,0.07,
396000,15,25,24,3315.2514,11207.8154,322.50,112.01,0.00,-127.00,10.00,nan,nan,nan,1678,318,-1.65,-1.80,10.03,0.12,0.44,-0.37,0.41,0.09,-0.18,
399000,15,25,26,3315.2514,11207.8154,322.50,107.84,0.01,-127.00,10.06,nan,nan,nan,1685,323,-1.65,-1.81,9.98,0.12,0.44,-0.39,0.60,0.25,-0.11,
402000,15,25,28,3315.2514,11207.8154,322.50,320.88,0.01,-127.00,10.06,nan,nan,nan,1735,372,-1.64,-1.80,10.01,0.11,0.44,-0.38,0.51,0.38,-0.08,
405000,15,25,30,3315.2514,11207.8154,322.50,180.82,0.00,-127.00,10.06,nan,nan,nan,1739,379,-1.60,-1.83,9.95,0.12,0.45,-0.38,0.56,0.38,-0.27,
408000,15,25,32,3315.2514,11207.8154,322.50,150.53,0.01,-127.00,10.06,nan,nan,nan,1748,389,-1.66,-1.82,9.98,0.12,0.45,-0.39,0.45,0.45,-0.05,
411000,15,25,34,3315.2514,11207.8154,322.50,152.07,0.02,-127.00,10.06,nan,nan,nan,1774,421,-1.65,-1.78,9.97,0.12,0.44,-0.38,0.52,0.45,-0.25,
414000,15,25,36,3315.2514,11207.8154,322.50,11.99,0.00,-127.00,10.13,nan,nan,nan,1762,405,-1.64,-1.83,10.00,0.12,0.45,-0.40,0.52,0.51,-0.11,
417000,15,25,38,3315.2514,11207.8154,322.50,0.00,0.00,-127.00,10.13,nan,nan,nan,1748,389,-1.62,-1.84,10.01,0.12,0.44,-0.39,0.67,0.47,0.25,
420000,15,25,40,3315.2514,11207.8154,322.50,309.87,0.01,-127.00,10.06,nan,nan,nan,1739,379,-1.65,-1.84,10.00,0.12,0.43,-0.38,0.63,0.22,-0.06,
423000,15,25,42,3315.2514,11207.8154,322.50,148.21,0.01,-127.00,10.13,nan,nan,nan,1748,389,-1.64,-1.78,10.04,0.11,0.44,-0.39,0.53,0.27,-0.18,
426000,15,25,44,3315.2514,11207.8154,322.50,131.74,0.01,-127.00,10.13,nan,nan,nan,1698,336,-1.63,-1.81,9.97,0.12,0.44,-0.39,0.45,0.39,0.04,
